ano,hora,intensidade_gco2_kwh
2024,17,94.2
2024,18,89.3
2024,19,84.0
2024,20,81.8
2024,21,83.8
2024,22,84.5
2024,23,85.2
2025,00,113.5
2025,01,119.7
2025,02,123.7
2025,03,124.4
2025,04,122.0
2025,05,114.4
2025,06,104.0
2025,07,104.1
2025,08,111.6
2025,09,114.0
2025,10,115.0
2025,11,116.2
2025,12,115.7
2025,13,117.3
2025,14,118.4
2025,15,118.8
2025,16,118.1
2025,17,112.1
2025,18,107.7
2025,19,100.8
2025,20,97.0
2025,21,100.0
2025,22,105.3
2025,23,108.0
2026,00,107.5
2026,01,113.0
2026,02,117.8
2026,03,118.2
2026,04,115.9
2026,05,107.8
2026,06,101.2
2026,07,105.5
2026,08,111.6
2026,09,113.5
2026,10,113.9
2026,11,113.3
2026,12,112.2
2026,13,112.4
2026,14,113.0
2026,15,113.9
2026,16,115.1
2026,17,118.7
2026,18,116.0
2026,19,105.1
2026,20,99.6
2026,21,102.8
2026,22,104.2
2026,23,103.6
