dia,tarifario,opcao,intervalo,col,omie,tar,omieTar
23/08/2026,Alfa Power Index BTN,Simples,[14:45-15:00[,0.08713,-0.00100,0.06070,0.05957
23/08/2026,Alfa Power Index BTN,Simples,[15:00-15:15[,0.08712,-0.00100,0.06070,0.05957
23/08/2026,Alfa Power Index BTN,Simples,[15:15-15:30[,0.08712,-0.00100,0.06070,0.05957
23/08/2026,Alfa Power Index BTN,Simples,[15:30-15:45[,0.08711,-0.00100,0.06070,0.05957
23/08/2026,Alfa Power Index BTN,Simples,[15:45-16:00[,0.08711,-0.00100,0.06070,0.05957
23/08/2026,Alfa Power Index BTN,Simples,[16:00-16:15[,0.08732,-0.00081,0.06070,0.05978
23/08/2026,Alfa Power Index BTN,Simples,[16:15-16:30[,0.08749,-0.00066,0.06070,0.05995
23/08/2026,Alfa Power Index BTN,Simples,[16:30-16:45[,0.08780,-0.00039,0.06070,0.06026
23/08/2026,Alfa Power Index BTN,Simples,[16:45-17:00[,0.08822,-0.00002,0.06070,0.06068
23/08/2026,Alfa Power Index BTN,Simples,[17:00-17:15[,0.08826,0.00000,0.06070,0.06070
23/08/2026,Alfa Power Index BTN,Simples,[17:15-17:30[,0.08828,0.00001,0.06070,0.06071
23/08/2026,Alfa Power Index BTN,Simples,[17:30-17:45[,0.08951,0.00108,0.06070,0.06193
23/08/2026,Alfa Power Index BTN,Simples,[17:45-18:00[,0.09221,0.00343,0.06070,0.06460
23/08/2026,Alfa Power Index BTN,Simples,[18:00-18:15[,0.08958,0.00109,0.06070,0.06194
23/08/2026,Alfa Power Index BTN,Simples,[18:15-18:30[,0.13271,0.03888,0.06070,0.10504
23/08/2026,Alfa Power Index BTN,Simples,[18:30-18:45[,0.18526,0.08473,0.06070,0.15755
23/08/2026,Alfa Power Index BTN,Simples,[18:45-19:00[,0.21104,0.10700,0.06070,0.18330
23/08/2026,Alfa Power Index BTN,Simples,[19:00-19:15[,0.23210,0.12500,0.06070,0.20431
23/08/2026,Alfa Power Index BTN,Simples,[19:15-19:30[,0.26136,0.15000,0.06070,0.23353
23/08/2026,Alfa Power Index BTN,Simples,[19:30-19:45[,0.26581,0.15338,0.06070,0.23794
23/08/2026,Alfa Power Index BTN,Simples,[19:45-20:00[,0.27413,0.16014,0.06070,0.24622
23/08/2026,Alfa Power Index BTN,Simples,[20:00-20:15[,0.28027,0.16500,0.06070,0.25232
23/08/2026,Alfa Power Index BTN,Simples,[20:15-20:30[,0.28285,0.16693,0.06070,0.25487
23/08/2026,Alfa Power Index BTN,Simples,[20:30-20:45[,0.28069,0.16500,0.06070,0.25270
23/08/2026,Alfa Power Index BTN,Simples,[20:45-21:00[,0.27594,0.16084,0.06070,0.24795
23/08/2026,Alfa Power Index BTN,Simples,[21:00-21:15[,0.28141,0.16554,0.06070,0.25341
23/08/2026,Alfa Power Index BTN,Simples,[21:15-21:30[,0.27627,0.16124,0.06070,0.24829
23/08/2026,Alfa Power Index BTN,Simples,[21:30-21:45[,0.27467,0.16004,0.06070,0.24670
23/08/2026,Alfa Power Index BTN,Simples,[21:45-22:00[,0.27256,0.15846,0.06070,0.24462
23/08/2026,Alfa Power Index BTN,Simples,[22:00-22:15[,0.27403,0.15999,0.06070,0.24611
23/08/2026,Alfa Power Index BTN,Simples,[22:15-22:30[,0.26790,0.15500,0.06070,0.24001
23/08/2026,Alfa Power Index BTN,Simples,[22:30-22:45[,0.26790,0.15530,0.06070,0.24004
23/08/2026,Alfa Power Index BTN,Simples,[22:45-23:00[,0.25965,0.14845,0.06070,0.23181
23/08/2026,Alfa Power Index BTN,Simples,[23:00-23:15[,,,,
23/08/2026,Alfa Power Index BTN,Simples,[23:15-23:30[,,,,
23/08/2026,Alfa Power Index BTN,Simples,[23:30-23:45[,,,,
23/08/2026,Alfa Power Index BTN,Simples,[23:45-00:00[,,,,
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[00:00-00:15[,0.22270,0.15690,0.01580,0.19501
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[00:15-00:30[,0.22426,0.15864,0.01580,0.19661
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[00:30-00:45[,0.22366,0.15846,0.01580,0.19603
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[00:45-01:00[,0.22508,0.16004,0.01580,0.19749
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[01:00-01:15[,0.23038,0.16500,0.01580,0.20281
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[01:15-01:30[,0.22643,0.16177,0.01580,0.19889
23/08/2026,Alfa Power Index BTN,Bi-horário - Ciclo Diário,[01:30-01:45[,0.22450,0.16029,0.01580,0.19697
